category,section,title,url,description,source,stars,github_url
GitHub (anthropics),claude-cookbooks/third_party/ElevenLabs,low_latency_stt_claude_tts.ipynb,anthropic-collection/claude-cookbooks/third_party/ElevenLabs/low_latency_stt_claude_tts.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/LlamaIndex,Basic_RAG_With_LlamaIndex.ipynb,anthropic-collection/claude-cookbooks/third_party/LlamaIndex/Basic_RAG_With_LlamaIndex.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/LlamaIndex,Multi_Document_Agents.ipynb,anthropic-collection/claude-cookbooks/third_party/LlamaIndex/Multi_Document_Agents.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/LlamaIndex,Multi_Modal.ipynb,anthropic-collection/claude-cookbooks/third_party/LlamaIndex/Multi_Modal.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/LlamaIndex,LlamaIndex <> Claude Cookbooks,anthropic-collection/claude-cookbooks/third_party/LlamaIndex/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/LlamaIndex,ReAct_Agent.ipynb,anthropic-collection/claude-cookbooks/third_party/LlamaIndex/ReAct_Agent.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/LlamaIndex,Router_Query_Engine.ipynb,anthropic-collection/claude-cookbooks/third_party/LlamaIndex/Router_Query_Engine.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/LlamaIndex,SubQuestion_Query_Engine.ipynb,anthropic-collection/claude-cookbooks/third_party/LlamaIndex/SubQuestion_Query_Engine.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/MongoDB,rag_using_mongodb.ipynb,anthropic-collection/claude-cookbooks/third_party/MongoDB/rag_using_mongodb.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/Pinecone,claude_3_rag_agent.ipynb,anthropic-collection/claude-cookbooks/third_party/Pinecone/claude_3_rag_agent.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/Pinecone,rag_using_pinecone.ipynb,anthropic-collection/claude-cookbooks/third_party/Pinecone/rag_using_pinecone.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/VoyageAI,Embeddings,anthropic-collection/claude-cookbooks/third_party/VoyageAI/how_to_create_embeddings.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/Wikipedia,wikipedia-search-cookbook.ipynb,anthropic-collection/claude-cookbooks/third_party/Wikipedia/wikipedia-search-cookbook.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/third_party/WolframAlpha,using_llm_api.ipynb,anthropic-collection/claude-cookbooks/third_party/WolframAlpha/using_llm_api.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_evaluation,tool_evaluation.ipynb,anthropic-collection/claude-cookbooks/tool_evaluation/tool_evaluation.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,automatic-context-compaction.ipynb,anthropic-collection/claude-cookbooks/tool_use/automatic-context-compaction.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,calculator_tool.ipynb,anthropic-collection/claude-cookbooks/tool_use/calculator_tool.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,customer_service_agent.ipynb,anthropic-collection/claude-cookbooks/tool_use/customer_service_agent.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,extracting_structured_json.ipynb,anthropic-collection/claude-cookbooks/tool_use/extracting_structured_json.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,memory_cookbook.ipynb,anthropic-collection/claude-cookbooks/tool_use/memory_cookbook.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,parallel_tools.ipynb,anthropic-collection/claude-cookbooks/tool_use/parallel_tools.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,programmatic_tool_calling_ptc.ipynb,anthropic-collection/claude-cookbooks/tool_use/programmatic_tool_calling_ptc.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,threat_intel_enrichment_agent.ipynb,anthropic-collection/claude-cookbooks/tool_use/threat_intel_enrichment_agent.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,tool_choice.ipynb,anthropic-collection/claude-cookbooks/tool_use/tool_choice.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,tool_search_alternate_approaches.ipynb,anthropic-collection/claude-cookbooks/tool_use/tool_search_alternate_approaches.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,tool_search_with_embeddings.ipynb,anthropic-collection/claude-cookbooks/tool_use/tool_search_with_embeddings.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,tool_use_with_pydantic.ipynb,anthropic-collection/claude-cookbooks/tool_use/tool_use_with_pydantic.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use,vision_with_tools.ipynb,anthropic-collection/claude-cookbooks/tool_use/vision_with_tools.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/tool_use/context_engineering,context_engineering_tools.ipynb,anthropic-collection/claude-cookbooks/tool_use/context_engineering/context_engineering_tools.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),Repositories,anthropics/courses,anthropic-collection/courses,"Welcome to Anthropic's educational courses. This repository currently contains five courses.  We suggest completing the courses in the following order: 1. [Anthropic API fundamentals](./anthropic_api_fundamentals/README.md) - teaches the essentials of working with the Claude SDK: getting an API key,",Local: anthropics,,https://github.com/anthropics/courses
GitHub (anthropics),courses,Anthropic courses,anthropic-collection/courses/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/anthropic_api_fundamentals,01_getting_started.ipynb,anthropic-collection/courses/anthropic_api_fundamentals/01_getting_started.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/anthropic_api_fundamentals,02_messages_format.ipynb,anthropic-collection/courses/anthropic_api_fundamentals/02_messages_format.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/anthropic_api_fundamentals,03_models.ipynb,anthropic-collection/courses/anthropic_api_fundamentals/03_models.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/anthropic_api_fundamentals,04_parameters.ipynb,anthropic-collection/courses/anthropic_api_fundamentals/04_parameters.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/anthropic_api_fundamentals,05_Streaming.ipynb,anthropic-collection/courses/anthropic_api_fundamentals/05_Streaming.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/anthropic_api_fundamentals,06_vision.ipynb,anthropic-collection/courses/anthropic_api_fundamentals/06_vision.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/anthropic_api_fundamentals,Anthropic API fundamentals,anthropic-collection/courses/anthropic_api_fundamentals/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial,Welcome to Anthropic's Prompt Engineering Interactive Tutorial,anthropic-collection/courses/prompt_engineering_interactive_tutorial/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock,Welcome to Anthropic's Prompt Engineering Interactive Tutorial - Bedrock Edition,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,00_Tutorial_How-To.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/00_Tutorial_How-To.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,01_Basic_Prompt_Structure.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/01_Basic_Prompt_Structure.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,02_Being_Clear_and_Direct.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/02_Being_Clear_and_Direct.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,03_Assigning_Roles_Role_Prompting.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/03_Assigning_Roles_Role_Prompting.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,04_Separating_Data_and_Instructions.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/04_Separating_Data_and_Instructions.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,05_Formatting_Output_and_Speaking_for_Claude.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/05_Formatting_Output_and_Speaking_for_Claude.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,06_Precognition_Thinking_Step_by_Step.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/06_Precognition_Thinking_Step_by_Step.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,07_Using_Examples _Few-Shot_Prompting.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/07_Using_Examples _Few-Shot_Prompting.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,08_Avoiding_Hallucinations.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/08_Avoiding_Hallucinations.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,09_Complex_Prompts_from_Scratch.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/09_Complex_Prompts_from_Scratch.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,10_1_Appendix_Chaining_Prompts.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/10_1_Appendix_Chaining_Prompts.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,10_2_Appendix_Tool_Use.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/10_2_Appendix_Tool_Use.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,10_3_Appendix_Empirical_Performance_Evaluations.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/10_3_Appendix_Empirical_Performance_Evaluations.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic,10_4_Appendix_Search_and_Retrieval.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/anthropic/10_4_Appendix_Search_and_Retrieval.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,00_Tutorial_How-To.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/00_Tutorial_How-To.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,01_Basic_Prompt_Structure.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/01_Basic_Prompt_Structure.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,02_Being_Clear_and_Direct.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/02_Being_Clear_and_Direct.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,03_Assigning_Roles_Role_Prompting.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/03_Assigning_Roles_Role_Prompting.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,04_Separating_Data_and_Instructions.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/04_Separating_Data_and_Instructions.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,05_Formatting_Output_and_Speaking_for_Claude.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/05_Formatting_Output_and_Speaking_for_Claude.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,06_Precognition_Thinking_Step_by_Step.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/06_Precognition_Thinking_Step_by_Step.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,07_Using_Examples_Few-Shot_Prompting.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/07_Using_Examples_Few-Shot_Prompting.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,08_Avoiding_Hallucinations.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/08_Avoiding_Hallucinations.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,09_Complex_Prompts_from_Scratch.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/09_Complex_Prompts_from_Scratch.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,10_1_Appendix_Chaining_Prompts.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/10_1_Appendix_Chaining_Prompts.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,10_2_Appendix_Tool_Use.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/10_2_Appendix_Tool_Use.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,10_3_Appendix_Empirical_Performance_Eval.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/10_3_Appendix_Empirical_Performance_Eval.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3,10_4_Appendix_Search_and_Retrieval.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/AmazonBedrock/boto3/10_4_Appendix_Search_and_Retrieval.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,00_Tutorial_How-To.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/00_Tutorial_How-To.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,01_Basic_Prompt_Structure.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/01_Basic_Prompt_Structure.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,02_Being_Clear_and_Direct.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/02_Being_Clear_and_Direct.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,03_Assigning_Roles_Role_Prompting.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/03_Assigning_Roles_Role_Prompting.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,04_Separating_Data_and_Instructions.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/04_Separating_Data_and_Instructions.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,05_Formatting_Output_and_Speaking_for_Claude.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/05_Formatting_Output_and_Speaking_for_Claude.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,06_Precognition_Thinking_Step_by_Step.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/06_Precognition_Thinking_Step_by_Step.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,07_Using_Examples_Few-Shot_Prompting.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/07_Using_Examples_Few-Shot_Prompting.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,08_Avoiding_Hallucinations.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/08_Avoiding_Hallucinations.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,09_Complex_Prompts_from_Scratch.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/09_Complex_Prompts_from_Scratch.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,10.1_Appendix_Chaining Prompts.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/10.1_Appendix_Chaining Prompts.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,10.2_Appendix_Tool Use.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/10.2_Appendix_Tool Use.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_engineering_interactive_tutorial/Anthropic 1P,10.3_Appendix_Search & Retrieval.ipynb,anthropic-collection/courses/prompt_engineering_interactive_tutorial/Anthropic 1P/10.3_Appendix_Search & Retrieval.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations,Prompt evaluations,anthropic-collection/courses/prompt_evaluations/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/01_intro_to_evals,01_intro_to_evals.ipynb,anthropic-collection/courses/prompt_evaluations/01_intro_to_evals/01_intro_to_evals.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/02_workbench_evals,02_workbench_evals.ipynb,anthropic-collection/courses/prompt_evaluations/02_workbench_evals/02_workbench_evals.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/03_code_graded_evals,03_code_graded.ipynb,anthropic-collection/courses/prompt_evaluations/03_code_graded_evals/03_code_graded.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/04_code_graded_classification_evals,04_code_graded_classification_evals.ipynb,anthropic-collection/courses/prompt_evaluations/04_code_graded_classification_evals/04_code_graded_classification_evals.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/05_prompt_foo_code_graded_animals,Readme,anthropic-collection/courses/prompt_evaluations/05_prompt_foo_code_graded_animals/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/05_prompt_foo_code_graded_animals,lesson.ipynb,anthropic-collection/courses/prompt_evaluations/05_prompt_foo_code_graded_animals/lesson.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/06_prompt_foo_code_graded_classification,Readme,anthropic-collection/courses/prompt_evaluations/06_prompt_foo_code_graded_classification/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/06_prompt_foo_code_graded_classification,lesson.ipynb,anthropic-collection/courses/prompt_evaluations/06_prompt_foo_code_graded_classification/lesson.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/07_prompt_foo_custom_graders,Readme,anthropic-collection/courses/prompt_evaluations/07_prompt_foo_custom_graders/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/07_prompt_foo_custom_graders,lesson.ipynb,anthropic-collection/courses/prompt_evaluations/07_prompt_foo_custom_graders/lesson.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/08_prompt_foo_model_graded,Readme,anthropic-collection/courses/prompt_evaluations/08_prompt_foo_model_graded/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/08_prompt_foo_model_graded,lesson.ipynb,anthropic-collection/courses/prompt_evaluations/08_prompt_foo_model_graded/lesson.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/09_custom_model_graded_prompt_foo,Readme,anthropic-collection/courses/prompt_evaluations/09_custom_model_graded_prompt_foo/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/prompt_evaluations/09_custom_model_graded_prompt_foo,lesson.ipynb,anthropic-collection/courses/prompt_evaluations/09_custom_model_graded_prompt_foo/lesson.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/real_world_prompting,01_prompting_recap.ipynb,anthropic-collection/courses/real_world_prompting/01_prompting_recap.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/real_world_prompting,02_medical_prompt.ipynb,anthropic-collection/courses/real_world_prompting/02_medical_prompt.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/real_world_prompting,03_prompt_engineering.ipynb,anthropic-collection/courses/real_world_prompting/03_prompt_engineering.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/real_world_prompting,04_call_summarizer.ipynb,anthropic-collection/courses/real_world_prompting/04_call_summarizer.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/real_world_prompting,05_customer_support_ai.ipynb,anthropic-collection/courses/real_world_prompting/05_customer_support_ai.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/real_world_prompting,Real world prompting,anthropic-collection/courses/real_world_prompting/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/tool_use,01_tool_use_overview.ipynb,anthropic-collection/courses/tool_use/01_tool_use_overview.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/tool_use,02_your_first_simple_tool.ipynb,anthropic-collection/courses/tool_use/02_your_first_simple_tool.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/tool_use,03_structured_outputs.ipynb,anthropic-collection/courses/tool_use/03_structured_outputs.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/tool_use,04_complete_workflow.ipynb,anthropic-collection/courses/tool_use/04_complete_workflow.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/tool_use,05_tool_choice.ipynb,anthropic-collection/courses/tool_use/05_tool_choice.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/tool_use,06_chatbot_with_multiple_tools.ipynb,anthropic-collection/courses/tool_use/06_chatbot_with_multiple_tools.ipynb,,Local: anthropics/courses,,https://github.com/anthropics/courses
GitHub (anthropics),courses/tool_use,Tool use,anthropic-collection/courses/tool_use/README.md,,Local: anthropics/courses,,https://github.com/anthropics/courses
